index,entity_value
0,[None]
1,"['200cm/78.74""']"
2,[None]
3,"['200cm/78.74""']"
4,"['90cm/35.43""']"
5,[None]
6,"['90cm/35.43""']"
7,[None]
8,['30 cm']
9,['15 cm']
10,['Not found']
11,['139.Scm']
12,[None]
13,['10 cm']
14,[None]
15,['Not found']
16,['Not found']
17,['2 G']
18,['Not found']
19,[['208-240 v']]
20,[None]
21,"[(None, [])]"
22,['Not found']
23,[None]
24,[None]
25,[None]
26,[None]
27,['Not found']
28,['Not found']
29,['Not found']
30,['Not found']
31,['Not found']
32,[None]
33,[None]
34,['14cm']
35,['Not found']
36,[None]
37,['Not found']
38,['Not found']
39,['120 cM']
40,['120 cM']
41,"[(None, [])]"
42,['244 cm']
43,[None]
44,['25.6 [']
45,[None]
46,['5.8 in']
47,[None]
48,['720 Cm']
49,['720 Cm']
50,['90 cM']
51,['Not found']
52,['Not found']
53,[None]
54,['J9cm']
55,[None]
56,['Not found']
57,['120 cm']
58,['120 cm']
59,['Not found']
60,['Not found']
61,['Not found']
62,['280mm']
63,['280mm']
64,['280mm']
65,['Not found']
66,['Not found']
67,[None]
68,[None]
69,['10 cm']
70,[None]
71,[None]
72,['23 cm']
73,[None]
74,[['00 W']]
75,['Not found']
76,['4.7 in / 12 cm']
77,['4.7 in / 12 cm']
78,['Not found']
79,[None]
80,['Not found']
81,['243 LB']
82,['5.05 kg']
83,['Not found']
84,['98 cm']
85,[None]
86,[None]
87,['Not found']
88,['Not found']
89,['Not found']
90,['26 cm']
91,['200 LB']
92,['mm(19.']
93,"['23.95""']"
94,['Not found']
95,[None]
96,['12.5cm/4.92in']
97,[['6 v']]
98,['0O']
99,['11 cm']
100,[None]
101,['Not found']
102,['Not found']
103,['62 cm']
104,['8']
105,['6']
106,['20cm']
107,['1']
108,['Not found']
109,['6']
110,['60']
111,['Not found']
112,[['650 w']]
113,['Not found']
114,['Not found']
115,['Not found']
116,['Not found']
117,['Not found']
118,['10cm/3.9in']
119,['10cm/3.9in']
120,['Not found']
121,['25.7 cm']
122,['250 g']
123,['660 lb']
124,['Not found']
125,['Not found']
126,[['12 v']]
127,['191cml']
128,['90 cm']
129,['Not found']
130,['31 cm']
131,[None]
132,['25.6in(65cm)']
133,[None]
134,['Not found']
135,[None]
136,['2.9cm']
137,['8']
138,['29.95 cm']
139,['11.5mm/0.45in']
140,['11.5mm/0.45in']
141,['4cm']
142,['833']
143,['833']
144,['1Ocm/3.9in']
145,['90cm/35.4in']
146,['1Ocm/3.9in']
147,['20 L']
148,['5Ocm Diameter']
149,['5Ocm Diameter']
150,['469 G']
151,['74.93cm']
152,['3.14 in / 8 cm']
153,['7.86 in / 20 cm']
154,['1Ocm']
155,[None]
156,['50mm']
157,[None]
158,"['30.3""']"
159,['Not found']
160,[None]
161,['Not found']
162,['82cm']
163,[None]
164,['Not found']
165,['Not found']
166,['Not found']
167,['6 KG']
168,['D1O. Scm']
169,['D1O. Scm']
170,['Not found']
171,[None]
172,['Not found']
173,['3.0 cm']
174,['7.8 in / 20.0 cm']
175,[None]
176,['Not found']
177,[None]
178,['0 POUND']
179,['1.1']
180,['1.1']
181,['Not found']
182,['4']
183,['Not found']
184,['Not found']
185,['Not found']
186,['5.08cm/2inch']
187,['5.08cm/2inch']
188,['2.7 in / 7.0 cm']
189,['28.0 cm']
190,['Not found']
191,['40cm']
192,['61cm']
193,['6.2 LB']
194,['3']
195,['27.4cm']
196,[None]
197,['Not found']
198,['33 g']
199,['Not found']
200,['37.5cm/14.76in']
201,['37.5cm/14.76in']
202,['37.5cm/14.76in']
203,['13.2 in']
204,['10 in']
205,['Not found']
206,['Not found']
207,"[""1'9cm""]"
208,['Not found']
209,['Not found']
210,[None]
211,['Not found']
212,['128cm']
213,['Not found']
214,['60 cm']
215,['3']
216,['Not found']
217,['Not found']
218,['Not found']
219,['Not found']
220,['20.6 cm']
221,[None]
222,['43.18cm']
223,['50.7 Lb']
224,['9Ocm']
225,['9Ocm']
226,['19.Scm']
227,['Not found']
228,['37 pound']
229,['Not found']
230,['Not found']
231,['8']
232,['Not found']
233,['70 cm']
234,['70 cm']
235,"['-75.6""']"
236,['72']
237,"['183 cm (72.0""']"
238,"['183 cm (72.0""']"
239,['3']
240,['60']
241,"['(13.8"")']"
242,['7cm/2.7Sin']
243,['21.Scm/8.46in']
244,['19 cm']
245,[None]
246,[None]
247,['70.5 cm']
248,['cm(23.']
249,['4.6 in / 11.7 cm']
250,['4.6 in / 11.7 cm']
251,['W6Scm']
252,['Not found']
253,['Not found']
254,['cm(13.']
255,[None]
256,"['06\'29""']"
257,[None]
258,['76 cm']
259,['76 cm']
260,['135 LB']
261,['135 LB']
262,['80 cm']
263,['41']
264,"['39""']"
265,['2.55 in / 6.5 cm']
266,['2.3 in / 6 cm']
267,[None]
268,[None]
269,[None]
270,['15 cm']
271,['2.75in / 7 cm']
272,['2.75in / 7 cm']
273,['Not found']
274,['1.5 in']
275,['16.5 cm']
276,['Not found']
277,['Not found']
278,['Not found']
279,['8.2 in / 21 cm']
280,['8.2 in / 21 cm']
281,['Not found']
282,[None]
283,[None]
284,['Not found']
285,['16.Scm']
286,['16.73']
287,['Not found']
288,"['3.5""']"
289,"['8""']"
290,['Not found']
291,['15.3in']
292,['3.5in']
293,['965 g']
294,['2.55 in / 6.5 cm']
295,['2.55 in / 6.5 cm']
296,"['73.62""']"
297,"['63""']"
298,['Not found']
299,['Not found']
300,['Not found']
301,['Not found']
302,['Not found']
303,['Not found']
304,['1.2cm/O.47inch']
305,['300mm']
306,['Not found']
307,['58 4m']
308,['45 LB']
309,['1.8 in / 4.5 cm']
310,['1.8 in / 4.5 cm']
311,['80 cm']
312,['3.75 Lb']
313,['Not found']
314,['1.96in']
315,['21cm / 8.3in']
316,['1.96in']
317,['15.2CM']
318,['15.2CM']
319,['1700 g']
320,['7.Scm/2.95in']
321,['20cm/7.86in']
322,['279icm']
323,['Not found']
324,['Not found']
325,['11.5cm/4.53in']
326,['15.5cm/6. Iin']
327,['7CM']
328,[None]
329,['7CM']
330,['Not found']
331,['Not found']
332,['15cm/5.89in']
333,['40cm/15.72in']
334,['Not found']
335,[['120 w']]
336,['Not found']
337,['4.9 in / 12.5 cm']
338,['4.9 in / 12.5 cm']
339,['Not found']
340,['Not found']
341,['Not found']
342,"['984""']"
343,[None]
344,[None]
345,['120cm']
346,['08.5cm']
347,['08.5cm']
348,['3']
349,['Not found']
350,['Capacity: 9']
351,['Capacity: 9']
352,['1OCM']
353,['2']
354,['Not found']
355,['2.95inch']
356,[None]
357,['3.1in/7.8cm']
358,['3.1in/7.8cm']
359,['2267 g']
360,['0.78 in / 2 cm']
361,['0.78 in / 2 cm']
362,['Not found']
363,['800 lb']
364,['74cmi']
365,"['(14""']"
366,"['(14""']"
367,"['(14""']"
368,['Not found']
369,['60']
370,['64 cm']
371,[None]
372,['Not found']
373,[None]
374,['4.0']
375,['8']
376,['Not found']
377,['Not found']
378,[['12 v']]
379,['12 cm']
380,['2.4 in / 6.1 cm']
381,['12 cm']
382,[None]
383,['Not found']
384,['Not found']
385,['Not found']
386,['14cm(s.Sin)']
387,['14cm(s.Sin)']
388,['Not found']
389,"[(None, [])]"
390,['Not found']
391,['100 cm']
392,['3']
393,['11.5cm/4.Sinch']
394,['11.5cm/4.Sinch']
395,['11.5cm/4.Sinch']
396,['Not found']
397,['Not found']
398,[None]
399,[None]
400,[None]
401,['Not found']
402,['226.8 g']
403,['1d0cm']
404,['1OOOML']
405,['22.2cm']
406,['Not found']
407,['Not found']
408,['Not found']
409,['23.5']
410,['23.5']
411,['5']
412,['146cm']
413,['290.5mm']
414,['Not found']
415,['Not found']
416,['Not found']
417,['Not found']
418,['8.3 in / 21.0 cm']
419,[None]
420,['Not found']
421,['Not found']
422,['Not found']
423,['69 cm']
424,[None]
425,[None]
426,['5 g']
427,['7cm']
428,['3.14 in / 8 cm']
429,['3.14 in / 8 cm']
430,['300 cm']
431,['30 cm']
432,['1Ocm/3.9inch']
433,['1Ocm/3.9inch']
434,['3.1 in / 8 cm']
435,['3.1 in / 8 cm']
436,['Not found']
437,['20cm/7.87inch']
438,['20cm/7.87inch']
439,['4gmm']
440,['4gmm']
441,['Not found']
442,[['220 V']]
443,['Not found']
444,['Not found']
445,['Not found']
446,['Not found']
447,['20 g']
448,['20 g']
449,['28cm']
450,['61 cm']
451,['Not found']
452,['88cm']
453,['30 cm']
454,[None]
455,['3.14 in / 8 cm']
456,['3.74 in / 9.5 cm']
457,['6.29 in / 16 cm']
458,['8.26 in / 21 cm']
459,['8']
460,['cm(9.']
461,[None]
462,['60']
463,['60']
464,['Not found']
465,['Not found']
466,['Not found']
467,['Not found']
468,['Not found']
469,['115.35 in / 39 cm']
470,['115.35 in / 39 cm']
471,['Not found']
472,['Not found']
473,['Not found']
474,"['cm(13.8""']"
475,"[(None, [])]"
476,"[(None, [])]"
477,"[(None, [])]"
478,['13cm(s 1in)']
479,['Not found']
480,['Not found']
481,['355 ML']
482,['60']
483,['57']
484,[None]
485,[None]
486,['3OCM']
487,['10.0 cm']
488,['10.0 cm']
489,['5.9 in']
490,['3']
491,['80 cm']
492,[None]
493,[None]
494,['12mm']
495,['Not found']
496,['1.41 in / 3.6 cm']
497,['1.41 in / 3.6 cm']
498,['8.7 cm']
499,[None]
500,[None]
501,[['5 V']]
502,['12 in']
503,['12 in']
504,['Not found']
505,['Not found']
506,[None]
507,"['44cm/17.3""']"
508,[None]
509,[None]
510,['8']
511,['8']
512,['23 Pound']
513,['cm(15.7']
514,['Not found']
515,['Not found']
516,"['30 cm( 11.8""']"
517,"['30 cm( 11.8""']"
518,[None]
519,['Not found']
520,['28.96 cn']
521,['99.8 cm']
522,['146cm']
523,['67 cm']
524,['9.0 cm']
525,['3.9 in']
526,['9.0 cm']
527,['14.93in']
528,['21.2 in / 54 cm']
529,['21.2 in / 54 cm']
530,['5.5 cm']
531,['5.5 in']
532,['150 g']
533,['Not found']
534,['(13.840']
535,['500 g']
536,[None]
537,[None]
538,['Not found']
539,['Fa:1.Smm']
540,['Not found']
541,['21 mm']
542,['9.0 cm']
543,['3.9 in']
544,['Not found']
545,['33.02cm']
546,['33.02cm']
547,['40.64cm']
548,"[['1.4 V', '12 v']]"
549,['8']
550,['60 cm']
551,['5.9 in / 15 cm']
552,['9.8 in / 25 cm']
553,['400 g']
554,['3.4 in / 8.6 cm']
555,['3']
556,[None]
557,[None]
558,['in / 6']
559,['25 kg']
560,['Not found']
561,['Not found']
562,['8.65 in / 22.0 cm']
563,['8.65 in / 22.0 cm']
564,['O20CM']
565,['Not found']
566,['3 kg']
567,['Not found']
568,['Not found']
569,['10cm']
570,['10cm']
571,[None]
572,['Not found']
573,['Not found']
574,['Not found']
575,['Not found']
576,['3 kg']
577,[None]
578,[None]
579,['60 cm']
580,['60 cm']
581,"['15.75""']"
582,['36.93']
583,['Not found']
584,[['0 w']]
585,['Not found']
586,['100 g']
587,['Not found']
588,['Not found']
589,['Not found']
590,['Not found']
591,['Not found']
592,['4']
593,[None]
594,[None]
595,['5.9 in / 15 cm']
596,['5.9 in / 15 cm']
597,['Not found']
598,['Not found']
599,['Not found']
600,['Not found']
601,['Not found']
602,['Not found']
603,['30 cm']
604,[None]
605,[None]
606,['2.2 cri']
607,[['3 W']]
608,[['12 V']]
609,"['cm(14.2""']"
610,['30']
611,['#2.O1cm']
612,"['16""']"
613,"['16""']"
614,['Not found']
615,['Not found']
616,['Not found']
617,['2.65 lb']
618,[None]
619,[None]
620,['Not found']
621,[['25 W']]
622,['10 cm']
623,['7.8 in / 20 cm']
624,['2.8 in / 7.3 cm']
625,['2.8 in / 7.3 cm']
626,['Not found']
627,['38 cm']
628,['35 cm']
629,[None]
630,['Not found']
631,['180 CM']
632,"['5""']"
633,"['5""']"
634,['7cm']
635,['27cm']
636,['4']
637,['1']
638,['h6 IN']
